,10日平均交易量,13周价格变化,26周价格变化,3个月平均交易量,52周最高价, 52周最高日期,52周最低价,52周最低日期,52周价格变化,5天价格变化,beta,市值,当月价格变化,13周同比ToS&P500价格,26周同比ToS&P500价格,52周同比ToS&P500价格,4周同比ToS&P500价格,年度同比ToS&P500价格,当年同比ToS&P500价格,交易所,股票代码
3688,0.047619999999999996,-21.24183,-26.9697,1.4174799999999999,4.05,2019-05-16,2.06,2020-03-23,-34.33243,0.0,0.76379,601.2669999999999,-0.82305,-9.70406,-15.1944,5.26419,-20.57883,-9.19849,-22.75641,HK,0046.HK
3689,0.88505,-22.91667,-33.92857,10.62885,0.17,2019-05-17,0.063,2020-03-24,-50.99338,7.24638,0.97421,745.212,7.24638,-14.456220000000002,-24.208000000000002,3.50377,-40.3839,-16.09385,-28.155340000000002,HK,0047.HK
3690,1.8051599999999999,-35.2459,-70.18868,9.36733,0.335,2019-11-01,0.051,2020-04-14,-74.09836,36.2069,0.91353,31.45236,19.69697,-28.138679999999997,-65.80277,20.697020000000002,-68.4909,-45.72779,-53.52941,HK,0048.HK
3691,0.0324,-3.42772,-9.2437,0.6856,8.84,2019-05-30,5.61,2020-03-24,-26.69683,-0.30769,0.5754100000000001,2308.655,-2.99401,10.71975,5.38971,6.77055,-11.34401,8.81972,-7.42857,HK,0050.HK
3692,0.01171,-21.93309,-33.5443,0.23908000000000001,14.46,2019-05-10,7.74,2020-04-03,-41.90871,-1.9836599999999998,0.42199,5953.5,-0.59172,-10.49658,-22.82909,3.17558,-29.741909999999997,-22.12633,-33.75394,HK,0051.HK
3693,0.33519,-2.92581,-12.97424,5.18013,29.8,2019-06-20,14.56,2020-03-23,-31.185190000000002,2.2002200000000003,0.7188899999999999,2406.719,0.0,11.29519,1.05766,4.02045,-16.77242,9.86515,-6.53924,HK,0052.HK
3694,0.01571,-16.69231,-15.98138,0.24559,132.0,2020-01-31,100.9,2020-04-27,-6.55738,2.55682,0.21045,35636.27,-0.8241799999999999,-4.48805,-2.43435,0.40605,13.01351,-3.5537900000000002,-17.95455,HK,0053.HK
3695,0.41663999999999995,-4.326919999999999,-23.46154,3.5616,0.34,2019-05-16,0.17,2020-03-20,-36.8254,-2.45098,1.04319,50.47425,-3.3980599999999996,9.68881,-11.12059,9.59401,-23.59393,-6.42848,-20.4,HK,0055.HK
3696,5.49492,25.67568,20.0,22.15318,1.94,2020-04-29,1.24,2020-03-17,8.771930000000001,-4.12371,0.75572,12670.69,-4.12371,39.46947,37.65467,29.169420000000002,32.320040000000006,40.14595,20.0,HK,0056.HK
3697,0.0238,-13.5514,-31.73432,1.7028,3.1,2019-08-22,1.61,2020-03-17,-35.087720000000004,-1.06952,0.61992,1166.484,-1.06952,-0.8870100000000001,-20.72726,-0.28386,-21.49231,-3.346,-17.77778,HK,0057.HK
3698,0.27403,3.22581,6.66667,12.28317,0.248,2020-01-09,0.075,2019-11-27,-45.14286,0.0,0.54876,71.89789,0.0,14.555570000000001,22.35971,-2.71901,-33.2668,40.14595,20.0,HK,0058.HK
3699,5.68149,-0.98039,-3.8095199999999996,97.84515,1.3,2019-05-29,0.99,2020-05-04,-17.88618,-2.88462,0.31048000000000003,8006.299,-0.98039,9.88771,10.34223,-0.69233,-0.1093,14.520560000000001,-1.94175,HK,0059.HK
3700,0.0064,0.0,-10.0,0.30006,0.88,2019-09-06,0.62,2020-05-05,-8.86076,4.34783,0.39568000000000003,186.9019,4.34783,10.975710000000001,3.241,2.1450400000000003,10.87004,2.54582,-12.19512,HK,0060.HK
3701,7.8341199999999995,-23.07692,-41.17647,158.07285,0.040999999999999995,2019-05-09,0.018000000000000002,2020-05-05,-50.0,-4.7619,1.21391,175.4646,-9.090910000000001,-11.80799,-31.69185,-15.5557,-39.52786,-12.92432,-25.925929999999997,HK,0061.HK
3702,0.08573,-11.836730000000001,-16.521739999999998,2.67925,24.15,2019-05-16,15.54,2020-03-19,-28.4472,1.17096,0.46003999999999995,7723.141,-1.03093,-2.16019,-4.24023,1.66094,-12.95669,-0.09398,-14.45545,HK,0062.HK
3703,0.1881,-1.6393400000000002,-28.0,7.27567,0.56,2019-07-04,0.091,2019-06-17,29.4964,-2.7027,0.46074,507.4384,-4.255319999999999,12.77011,-16.390829999999998,-4.5027800000000004,56.61849,-2.93858,-17.43119,HK,0063.HK
3704,6.1374,-42.0,-51.2605,86.74700000000001,0.28,2019-05-16,0.115,2020-05-07,-57.818180000000005,-7.2,0.91665,1120.874,-5.69106,-33.50322,-43.40182,-17.2208,-48.9835,-39.39533,-48.44444,HK,0064.HK
3705,0.01123,-26.53061,-32.07547,0.7882399999999999,0.69,2019-09-25,0.17,2020-03-17,-59.09091,0.0,0.93437,270.6259,1.1236,-15.767629999999999,-21.12342,1.3331600000000001,-50.5228,-11.095,-24.36975,HK,0065.HK
3706,4.0067,-1.26292,-6.31808,100.71175,55.75,2019-07-18,38.0,2020-03-23,-9.090910000000001,2.8708099999999996,0.61042,264807.8,-0.11614000000000001,9.57418,7.46461,1.9148,10.590060000000001,9.05313,-6.623239999999999,HK,0066.HK
3707,0.0,,,0.0,,,,,,,,7005.456999999999,,,,,,,,HK,0067.HK
3708,0.0014,-42.85714,-46.23656,0.02167,5.5,2019-05-17,1.94,2020-04-24,-63.636359999999996,0.0,0.40068000000000004,293.5626,0.0,-34.485929999999996,-37.567820000000005,-18.93347,-56.02026,-36.79991,-46.23656,HK,0068.HK
3709,1.74062,-17.158179999999998,-25.72115,70.71512,10.7,2019-05-15,5.11,2020-04-03,-41.03053,0.65147,1.18194,22158.54,-3.1348,-5.02217,-13.74455,7.4166300000000005,-28.679809999999996,-10.75278,-24.07862,HK,0069.HK
3710,3.4330800000000004,-31.111109999999996,-15.96751,27.85455,0.21263,2019-06-20,0.084,2020-04-29,-57.3115,-2.10526,0.7844399999999999,180.3105,3.33333,-21.01915,-2.41824,-5.76016,-48.3707,-16.54694,-29.00763,HK,0070.HK
3711,0.0236,-0.41551000000000005,-5.019819999999999,0.8774299999999999,17.48,2019-06-14,11.6,2020-03-23,-11.670760000000001,0.5594399999999999,0.69868,9936.0,0.41899,14.173229999999998,10.29464,6.98758,6.829160000000001,7.6688,-8.407639999999999,HK,0071.HK
3712,0.1842,-28.33333,-28.33333,2.194,0.39,2019-05-09,0.2,2020-05-06,-44.871790000000004,-3.15315,0.06676,94.24582,-3.15315,-17.83444,-16.777910000000002,-5.275519999999999,-33.325590000000005,-8.09558,-21.818179999999998,HK,0072.HK
3713,0.0,,,0.0,,,,,,,,743.4817,,,,,,,,HK,0073.HK
3714,0.04283,-4.97738,-7.07965,0.39601,2.45,2019-05-22,1.8,2020-03-24,-8.69565,0.0,0.12295,1679.0710000000001,0.0,6.19874,7.77108,1.61144,11.73579,12.73527,-4.54545,HK,0075.HK
3715,4.21318,-18.181820000000002,-68.96552,651.42057,0.067,2019-10-23,0.01,2020-03-23,-70.4918,-5.26316,0.73347,126.1194,-5.26316,-6.1957699999999996,-63.96156,1.3331600000000001,-64.31152,-64.73435,-70.0,HK,0076.HK
3716,0.0078,-21.59091,-22.47191,0.72227,0.99093,2019-08-28,0.65,2020-04-23,-18.25845,0.0,0.43026000000000003,187.62,0.0,-10.104280000000001,-9.9714,2.82335,-1.1382700000000001,-10.86704,-24.17582,HK,0077.HK
3717,0.19122999999999998,-20.15306,-28.863640000000004,4.646730000000001,5.06,2019-05-28,2.95,2020-04-02,-35.72895,-3.39506,0.55199,2813.1890000000003,-3.69231,-8.455789999999999,-17.393720000000002,-0.26013000000000003,-22.26785,-14.8291,-27.5463,HK,0078.HK
3718,0.00011,-6.54206,-13.04348,0.1482,0.38,2019-05-20,0.19,2020-04-15,-41.17647,0.0,0.47681,65.21548,0.0,3.71562,-0.25024,-0.69233,-28.44172,-3.08026,-17.01245,HK,0079.HK
3719,12.986880000000001,-6.10428,-24.59889,124.05596000000001,0.34,2019-06-03,0.15111,2020-04-03,-37.00667,9.94152,0.65533,130.4952,2.73224,4.93929,-12.54813,1.13332,-22.91047,8.840639999999999,-7.843089999999999,HK,0080.HK
3720,4.92919,-15.03759,3.66972,141.31343,6.12,2020-01-17,3.26,2019-06-04,13.8539,-4.64135,1.44602,15473.59,-6.804119999999999,-5.71237,18.92185,-3.46867,38.50222,-2.06251,-16.141,HK,0081.HK
3721,1.36312,-29.6875,-36.915890000000005,50.26947,0.29,2019-09-17,0.11599999999999999,2020-03-23,-42.79661,-2.17391,0.83834,578.9333,-0.73529,-19.38699,-26.7443,-0.14615999999999998,-30.81577,-20.65229,-32.5,HK,0082.HK
3722,5.97426,-0.9259299999999999,-12.724310000000001,159.26358000000002,13.76,2019-07-04,8.03,2020-03-19,-19.306179999999998,-2.19378,0.77079,75383.2,-1.29151,13.58804,1.34789,7.9945,-2.40545,11.1138,-5.47703,HK,0083.HK
3723,0.1349,-14.56311,-40.9396,9.67706,0.21899999999999997,2019-05-16,0.06,2020-03-20,-58.29384,4.7619,1.08294,92.08971,-2.22222,-2.04693,-31.416790000000002,15.809320000000001,-49.55878,-17.24328,-29.6,HK,0084.HK
